id,pharm_type,english_name,slovak_name,drug_class,subclass,mechanism_of_action,indications,contraindications,adverse_effects_common,adverse_effects_serious,interactions_key,pregnancy,routes,onset,duration,notes
ans_058,drug,Methyldopa,Metyl­dopa,Sympatholytics,central alpha-2 agonist,Converted to α-methylnorepinephrine (central α2 agonist) ↓sympathetic tone.,Hypertension in pregnancy (classic).,Active liver disease; MAOI use (caution).,Sedation; dry mouth.,Hemolytic anemia; hepatitis (rare).,Additive with other antihypertensives; may interfere with Coombs testing.,often acceptable/used,PO,hours,hours,Historic first-line in pregnancy; still taught heavily.
ans_059,drug,Guanfacine,Guanfacín,Sympatholytics,central alpha-2 agonist,Central α2A agonist reduces sympathetic outflow; also used in ADHD.,Hypertension (selected); ADHD.,Severe bradycardia/hypotension.,Sedation; dry mouth.,Rebound hypertension (less than clonidine).,Additive CNS depression; CYP3A4 interactions (some formulations).,caution,PO,hours,~24 h,Longer acting than clonidine.
ans_060,drug,Metyrosine,Metyrozín,Sympatholytics,other,Inhibits tyrosine hydroxylase → ↓catecholamine synthesis.,Pheochromocytoma (adjunct) when α/β blockade insufficient.,Depression; Parkinsonism (caution).,Sedation; diarrhea.,Extrapyramidal symptoms; severe depression (rare).,Additive CNS depression; combine with α/β blockers as needed.,caution,PO,days,days,Used as adjunct preop in pheochromocytoma.
ans_061,drug,Reserpine,Rezerpín,Sympatholytics,other,Blocks VMAT → depletes NE/DA/5-HT in nerve terminals.,Hypertension (rare/obsolete).,Depression; peptic ulcer disease.,Nasal congestion; diarrhea; sedation.,Severe depression; parkinsonism.,Additive hypotension with other antihypertensives; avoid with MAOIs.,avoid/caution,PO,days,days,"Mostly historical, included for completeness."
gi_001,drug_class,Peptic ulcer therapy,Liečba peptického vredu,Peptic ulcer therapy,overview,"Reduce gastric acid secretion, neutralize acid, or eradicate Helicobacter pylori.",Peptic ulcer disease; GERD; stress ulcer prophylaxis; H. pylori eradication.,Drug-specific; severe hypersensitivity.,Headache; nausea; diarrhea.,GI bleeding masking; infections with acid suppression.,PPIs reduce absorption of drugs needing acidic pH; cimetidine inhibits CYP.,mostly safe,PO; IV,hours,hours–days,Cornerstone: PPIs ± antibiotics.
gi_002,drug,Omeprazole,Omeprazol,Peptic ulcer therapy,proton pump inhibitor,Irreversibly inhibits H+/K+ ATPase in parietal cells.,PUD; GERD; Zollinger–Ellison; H. pylori.,Hypersensitivity.,Headache; abdominal pain; diarrhea.,C. difficile infection; hypomagnesemia; fractures (long-term).,↓ absorption of ketoconazole; clopidogrel interaction (omeprazole).,generally safe,PO; IV,1–2 h,24–48 h,Most effective acid suppression.
gi_003,drug,Pantoprazole,Pantoprazol,Peptic ulcer therapy,proton pump inhibitor,Irreversibly inhibits H+/K+ ATPase in parietal cells.,PUD; GERD; Zollinger–Ellison; H. pylori.,Hypersensitivity.,Headache; abdominal pain; diarrhea.,C. difficile infection; hypomagnesemia; fractures (long-term).,↓ absorption of ketoconazole; clopidogrel interaction (omeprazole).,generally safe,PO; IV,1–2 h,24–48 h,Most effective acid suppression.
gi_004,drug,Esomeprazole,Ezomeprazol,Peptic ulcer therapy,proton pump inhibitor,Irreversibly inhibits H+/K+ ATPase in parietal cells.,PUD; GERD; Zollinger–Ellison; H. pylori.,Hypersensitivity.,Headache; abdominal pain; diarrhea.,C. difficile infection; hypomagnesemia; fractures (long-term).,↓ absorption of ketoconazole; clopidogrel interaction (omeprazole).,generally safe,PO; IV,1–2 h,24–48 h,Most effective acid suppression.
gi_005,drug,Lansoprazole,Lanzoprazol,Peptic ulcer therapy,proton pump inhibitor,Irreversibly inhibits H+/K+ ATPase in parietal cells.,PUD; GERD; Zollinger–Ellison; H. pylori.,Hypersensitivity.,Headache; abdominal pain; diarrhea.,C. difficile infection; hypomagnesemia; fractures (long-term).,↓ absorption of ketoconazole; clopidogrel interaction (omeprazole).,generally safe,PO; IV,1–2 h,24–48 h,Most effective acid suppression.
gi_006,drug,Famotidine,Famotidín,Peptic ulcer therapy,H2 receptor antagonist,Blocks H2 receptors on parietal cells → ↓ acid secretion.,PUD; GERD.,Hypersensitivity.,Headache; diarrhea.,Confusion (elderly).,Cimetidine inhibits CYP450.,generally safe,PO; IV,1 h,6–12 h,Less potent than PPIs.
gi_007,drug,Cimetidine,Cimetidín,Peptic ulcer therapy,H2 receptor antagonist,Blocks H2 receptors on parietal cells → ↓ acid secretion.,PUD; GERD.,Hypersensitivity.,Headache; diarrhea.,Confusion (elderly).,Cimetidine inhibits CYP450.,generally safe,PO; IV,1 h,6–12 h,Less potent than PPIs.
gi_008,drug,Sucralfate,Sukralfát,Peptic ulcer therapy,mucosal protective agent,Forms protective barrier on ulcer base.,Peptic ulcer disease.,Bowel obstruction.,Constipation.,Aluminum toxicity (renal failure).,Binds other drugs reducing absorption.,safe,PO,1–2 h,6 h,Requires acidic environment.
gi_009,drug,Bismuth subsalicylate,Subsalicylát bizmutu,Peptic ulcer therapy,bismuth compound,Coats ulcer; antimicrobial vs H. pylori.,H. pylori therapy; diarrhea.,Salicylate allergy; children.,Black stools; nausea.,Salicylate toxicity.,Additive salicylates/NSAIDs.,avoid in children,PO,1 h,hours,Part of quadruple therapy.
gi_010,drug_class,IBD therapy,Liečba IBD,Inflammatory bowel disease therapy,overview,"Suppress intestinal inflammation via anti-inflammatory, immunosuppressive, or biologic mechanisms.",Crohn disease; ulcerative colitis.,Active severe infection.,Nausea; infection risk.,Sepsis; malignancy (long-term).,Live vaccines contraindicated with biologics.,agent-dependent,PO; IV; SC,days–weeks,weeks–months,Step-up or top-down strategy.
gi_011,drug,Mesalazine (5-ASA),Mesalazín,IBD therapy,5-ASA,Inhibits prostaglandin and leukotriene synthesis in gut.,Ulcerative colitis; mild Crohn colitis.,Salicylate allergy.,Headache; nausea.,Nephrotoxicity (rare).,NSAIDs ↑ renal risk.,generally safe,PO; rectal,days,chronic,First-line in UC.
gi_012,drug,Prednisone,Prednizón,IBD therapy,corticosteroid,Suppresses inflammatory gene transcription.,Moderate–severe IBD flares.,Systemic infections.,Weight gain; hyperglycemia; mood changes.,Adrenal suppression; osteoporosis.,NSAIDs ↑ GI bleeding risk.,use if needed,PO; IV,hours,days,"Induction only, not maintenance."
gi_013,drug,Budesonide,Budezonid,IBD therapy,corticosteroid,Suppresses inflammatory gene transcription.,Moderate–severe IBD flares.,Systemic infections.,Weight gain; hyperglycemia; mood changes.,Adrenal suppression; osteoporosis.,NSAIDs ↑ GI bleeding risk.,use if needed,PO; IV,hours,days,"Induction only, not maintenance."
gi_014,drug,Azathioprine,Azatioprín,IBD therapy,immunomodulator,Inhibits lymphocyte proliferation.,Steroid-sparing maintenance therapy.,Pregnancy (methotrexate); marrow suppression.,Nausea; cytopenia.,Infections; hepatotoxicity.,Allopurinol ↑ azathioprine toxicity.,contraindicated (MTX),PO; SC,weeks,months,Monitor blood counts.
gi_015,drug,Methotrexate,Metotrexát,IBD therapy,immunomodulator,Inhibits lymphocyte proliferation.,Steroid-sparing maintenance therapy.,Pregnancy (methotrexate); marrow suppression.,Nausea; cytopenia.,Infections; hepatotoxicity.,Allopurinol ↑ azathioprine toxicity.,contraindicated (MTX),PO; SC,weeks,months,Monitor blood counts.
gi_016,drug,Infliximab,Infliximab,IBD therapy,anti-TNF biologic,Monoclonal antibody against TNF-α.,Moderate–severe Crohn disease and UC.,Active infection; TB.,Infusion reactions.,Serious infections; malignancy.,Live vaccines contraindicated.,avoid,IV,weeks,weeks,Screen for TB/hepatitis.
gi_017,drug_class,GI motility and bowel drugs,Lieky ovplyvňujúce motilitu GIT,GI motility drugs,overview,"Modify gastrointestinal motility, secretion, or emesis pathways.",Nausea; vomiting; constipation; diarrhea; gastroparesis.,Mechanical obstruction.,Abdominal cramps; diarrhea.,Bowel obstruction; arrhythmias (some prokinetics).,QT-prolonging drugs interact with prokinetics.,agent-dependent,PO; IV; rectal,minutes–hours,hours,Match mechanism to symptom.
gi_018,drug,Metoclopramide,Metoklopramid,GI motility drugs,prokinetic/antiemetic,D2 antagonist; ↑ gastric emptying.,Gastroparesis; nausea/vomiting.,Parkinson disease; obstruction.,Drowsiness; diarrhea.,EPS; tardive dyskinesia.,Antipsychotics ↑ EPS risk.,caution,PO; IV,30–60 min,hours,Limit duration.
gi_019,drug,Ondansetron,Ondansetron,GI motility drugs,5-HT3 antagonist,Blocks serotonin 5-HT3 receptors in CTZ.,Chemo/post-op nausea.,QT prolongation.,Headache; constipation.,Arrhythmias.,QT-prolonging drugs additive.,generally safe,PO; IV,30 min,hours,Well tolerated.
gi_020,drug,Lactulose,Laktulóza,GI motility drugs,osmotic laxative,Increases stool water content or stimulates peristalsis.,Constipation.,Bowel obstruction.,Bloating; cramps.,Electrolyte imbalance.,Additive diarrhea with other laxatives.,safe,PO; rectal,hours,hours,Avoid chronic stimulant use.
gi_021,drug,Bisacodyl,Bisakodyl,GI motility drugs,stimulant laxative,Increases stool water content or stimulates peristalsis.,Constipation.,Bowel obstruction.,Bloating; cramps.,Electrolyte imbalance.,Additive diarrhea with other laxatives.,safe,PO; rectal,hours,hours,Avoid chronic stimulant use.
gi_022,drug,Loperamide,Loperamid,GI motility drugs,antidiarrheal,Peripheral μ-opioid receptor agonist ↓ gut motility.,Acute/chronic diarrhea.,Bloody diarrhea; C. difficile.,Constipation; cramps.,Toxic megacolon; arrhythmias (abuse).,QT prolongation at high doses.,generally safe,PO,1 h,hours,Does not cross BBB at therapeutic doses.
endo_001,drug_class,Adrenal hormones and antagonists,Nadobličkové hormóny a antagonisty,Adrenal pharmacology,overview,"Therapies affecting glucocorticoids, mineralocorticoids, adrenal steroid synthesis, and adrenal hormone antagonism.",Adrenal insufficiency; congenital adrenal hyperplasia; Cushing syndrome; mineralocorticoid deficiency; hyperaldosteronism; adrenal crisis.,Agent-dependent.,Weight gain; fluid retention; mood changes (steroids).,Adrenal suppression; severe infections; GI bleeding; psychosis (steroids).,CYP3A4 inducers reduce steroid levels; additive hypokalemia with diuretics (some).,agent-dependent,PO; IV; IM; topical; inhalation,hours,hours to days,Separate replacement therapy (insufficiency) from inhibition/antagonism (Cushing/hyperaldosteronism).
endo_002,drug,Hydrocortisone,Hydrokortizón,Adrenal pharmacology,glucocorticoid,Binds glucocorticoid receptor → alters gene transcription; anti-inflammatory and immunosuppressive; metabolic effects.,Adrenal insufficiency (hydrocortisone); inflammatory/autoimmune diseases; cerebral edema (dexamethasone); diagnostic suppression tests (dexamethasone).,Systemic fungal infection (relative); live vaccines with high-dose therapy; severe uncontrolled infection (relative).,Weight gain; hyperglycemia; mood changes; hypertension; insomnia.,Adrenal suppression; osteoporosis; GI bleeding; severe infection; psychosis; avascular necrosis (long-term).,CYP3A4 inducers/inhibitors affect levels; NSAIDs ↑ GI bleed; vaccines (reduced response).,use if needed (lowest effective),PO; IV; IM,hours,hours to days,Physiologic replacement and stress dosing; has mineralocorticoid activity.
endo_003,drug,Prednisone,Prednizón,Adrenal pharmacology,glucocorticoid,Binds glucocorticoid receptor → alters gene transcription; anti-inflammatory and immunosuppressive; metabolic effects.,Adrenal insufficiency (hydrocortisone); inflammatory/autoimmune diseases; cerebral edema (dexamethasone); diagnostic suppression tests (dexamethasone).,Systemic fungal infection (relative); live vaccines with high-dose therapy; severe uncontrolled infection (relative).,Weight gain; hyperglycemia; mood changes; hypertension; insomnia.,Adrenal suppression; osteoporosis; GI bleeding; severe infection; psychosis; avascular necrosis (long-term).,CYP3A4 inducers/inhibitors affect levels; NSAIDs ↑ GI bleed; vaccines (reduced response).,use if needed (lowest effective),PO; IV; IM,hours,hours to days,Intermediate-acting systemic glucocorticoid.
endo_004,drug,Dexamethasone,Dexametazón,Adrenal pharmacology,glucocorticoid,Binds glucocorticoid receptor → alters gene transcription; anti-inflammatory and immunosuppressive; metabolic effects.,Adrenal insufficiency (hydrocortisone); inflammatory/autoimmune diseases; cerebral edema (dexamethasone); diagnostic suppression tests (dexamethasone).,Systemic fungal infection (relative); live vaccines with high-dose therapy; severe uncontrolled infection (relative).,Weight gain; hyperglycemia; mood changes; hypertension; insomnia.,Adrenal suppression; osteoporosis; GI bleeding; severe infection; psychosis; avascular necrosis (long-term).,CYP3A4 inducers/inhibitors affect levels; NSAIDs ↑ GI bleed; vaccines (reduced response).,use if needed (lowest effective),PO; IV; IM,hours,hours to days,Long-acting potent glucocorticoid; minimal mineralocorticoid effect.
endo_005,drug,Fludrocortisone,Fludrokortizón,Adrenal pharmacology,mineralocorticoid,Mineralocorticoid receptor agonist → ↑Na+ reabsorption and K+/H+ excretion in kidney.,Primary adrenal insufficiency mineralocorticoid replacement; orthostatic hypotension (selected).,Severe hypertension; heart failure; hypokalemia.,Edema; hypertension; hypokalemia.,Heart failure exacerbation; severe hypokalemia/arrhythmias.,Additive hypokalemia with loop/thiazide diuretics; interacts with antihypertensives.,use if needed,PO,hours,hours,"Monitor BP, electrolytes."
endo_006,drug,Ketoconazole,Ketokonazol,Adrenal pharmacology,steroidogenesis inhibitor,Inhibits adrenal and gonadal steroid synthesis (CYP enzymes).,Cushing syndrome (selected).,Severe liver disease; many interactions.,GI upset; rash.,Hepatotoxicity; QT prolongation.,Strong CYP3A4 inhibitor; many interactions.,avoid,PO,hours,hours to days,Monitor liver tests.
endo_007,drug,Metyrapone,Metyrapón,Adrenal pharmacology,steroidogenesis inhibitor,Inhibits 11β-hydroxylase → ↓cortisol synthesis.,Cushing syndrome; diagnostic testing (selected).,Adrenal insufficiency; pregnancy caution.,Nausea; dizziness; hirsutism/acne.,Adrenal crisis; hypertension/hypokalemia.,Additive with other adrenal inhibitors; affects cortisol assays.,caution/individualize,PO,hours,hours to days,May increase androgenic side effects.
endo_008,drug,Mitotane,Mitotán,Adrenal pharmacology,adrenolytic,Cytotoxic to adrenal cortex; reduces steroid synthesis.,Adrenocortical carcinoma; refractory Cushing (selected).,Pregnancy.,GI upset; lethargy.,Neurotoxicity; adrenal insufficiency.,Induces CYP3A4; many interactions.,contraindicated,PO,hours,hours to days,Requires steroid replacement monitoring.
endo_009,drug,Mifepristone,Mifepristón,Adrenal pharmacology,glucocorticoid receptor antagonist,Antagonizes glucocorticoid receptor (also progesterone receptor).,Cushing syndrome with hyperglycemia (selected).,Pregnancy; adrenal insufficiency.,Fatigue; nausea; edema.,Adrenal insufficiency symptoms; uterine bleeding.,CYP3A4 interactions; additive hypokalemia risk.,contraindicated,PO,hours,hours to days,Requires careful monitoring.
endo_010,drug,Spironolactone,Spironolaktón,Adrenal pharmacology,mineralocorticoid receptor antagonist,"Blocks mineralocorticoid receptor → ↓Na+ retention, ↑K+ retention; antifibrotic effects.",Primary hyperaldosteronism; resistant hypertension; heart failure (selected).,Hyperkalemia; severe renal impairment; Addison disease.,Hyperkalemia; dizziness.,Life-threatening hyperkalemia/arrhythmias.,Additive hyperkalemia with ACEi/ARB/K+ supplements; NSAIDs ↓ renal function.,caution,PO,hours,hours,Antiandrogen effects; useful for hyperaldosteronism and resistant HTN.
endo_011,drug,Eplerenone,Eplerenón,Adrenal pharmacology,mineralocorticoid receptor antagonist,"Blocks mineralocorticoid receptor → ↓Na+ retention, ↑K+ retention; antifibrotic effects.",Primary hyperaldosteronism; resistant hypertension; heart failure (selected).,Hyperkalemia; severe renal impairment; Addison disease.,Hyperkalemia; dizziness.,Life-threatening hyperkalemia/arrhythmias.,Additive hyperkalemia with ACEi/ARB/K+ supplements; NSAIDs ↓ renal function.,caution,PO,hours,hours,More selective MR antagonist; fewer endocrine side effects.
endo_012,drug_class,Sex hormones and contraception,Pohlavné hormóny a antikoncepcia,Sex hormone pharmacology,overview,"Therapies affecting estrogens, progestins, androgens, antiandrogens, and hormonal contraception.",Contraception; menopausal symptoms; hypogonadism; endometriosis; PCOS; prostate cancer (selected).,Estrogen-dependent tumors; history of thromboembolism (combined OCP); severe liver disease (agent-dependent).,Nausea; breast tenderness; spotting.,VTE; stroke; hypertension (estrogen-containing); hepatotoxicity (rare).,Enzyme inducers reduce hormonal contraception efficacy; anticoagulants and VTE risk.,agent-dependent,PO; transdermal; IM; SC; IUD; implant,hours to days,days to months,Know absolute contraindications for combined estrogen-progestin contraception.
endo_013,drug,Ethinylestradiol,Etinylestradiol,Sex hormone pharmacology,estrogen,Estrogen receptor agonist; suppresses FSH; stabilizes endometrium.,Combined hormonal contraception; menopausal hormone therapy (in combination).,History of VTE/stroke; estrogen-dependent cancer; severe liver disease; migraine with aura; smokers >35y.,Nausea; breast tenderness; headache.,VTE; stroke; hypertension; cholestasis.,"CYP inducers (rifampicin, some antiepileptics) ↓ efficacy.",avoid/use specialist,PO; transdermal,days,days,Estrogen component increases clot risk.
endo_014,drug,Levonorgestrel,Levonorgestrel,Sex hormone pharmacology,progestin,Progesterone receptor agonist; thickens cervical mucus; suppresses LH surge; alters endometrium.,Contraception; abnormal uterine bleeding (selected).,Active breast cancer; unexplained vaginal bleeding; severe liver disease (relative).,Irregular bleeding; weight gain; mood changes.,Bone density loss (depot); thrombosis risk (lower than estrogen).,Enzyme inducers ↓ efficacy.,generally acceptable (progestin-only),PO; IM; IUD,hours to days,days to months,Progestin used in OCPs and emergency contraception; also IUD.
endo_015,drug,Medroxyprogesterone acetate,Medroxyprogesterón acetát,Sex hormone pharmacology,progestin,Progesterone receptor agonist; thickens cervical mucus; suppresses LH surge; alters endometrium.,Contraception; abnormal uterine bleeding (selected).,Active breast cancer; unexplained vaginal bleeding; severe liver disease (relative).,Irregular bleeding; weight gain; mood changes.,Bone density loss (depot); thrombosis risk (lower than estrogen).,Enzyme inducers ↓ efficacy.,generally acceptable (progestin-only),PO; IM; IUD,hours to days,days to months,Depot contraception; can decrease bone density with long-term use.
endo_016,drug,Combined oral contraceptive (ethinylestradiol + progestin),Kombinovaná perorálna antikoncepcia,Sex hormone pharmacology,combined hormonal contraception,Suppresses ovulation (↓FSH/LH); progestin thickens cervical mucus; endometrial changes.,Contraception; dysmenorrhea; acne; PCOS symptom control (selected).,VTE history; migraine with aura; smokers >35y; uncontrolled HTN; estrogen-dependent tumors; severe liver disease.,Nausea; spotting; breast tenderness.,VTE; stroke; MI (risk ↑ with smoking).,Enzyme inducers ↓ efficacy; rifampicin and some antiepileptics are high-risk.,avoid,PO,days,1 day (missed doses matter),Counsel on VTE symptoms; adherence crucial.
endo_017,drug,Testosterone,Testosterón,Sex hormone pharmacology,androgen,Androgen receptor agonist; supports male secondary sex characteristics; anabolic effects.,Male hypogonadism; delayed puberty (selected).,Prostate/breast cancer; polycythemia; severe heart failure (caution).,Acne; fluid retention; erythrocytosis.,Hepatotoxicity (oral); infertility; CV events (debated).,Warfarin ↑ bleeding risk; insulin requirements may change.,avoid,IM; transdermal; buccal,days,days to weeks,"Monitor hematocrit, PSA, lipids."
endo_018,drug,Finasteride,Finasterid,Sex hormone pharmacology,5-alpha-reductase inhibitor,Inhibits 5α-reductase → ↓DHT.,BPH; androgenic alopecia.,Pregnancy (male fetus risk); liver disease (caution).,Decreased libido; erectile dysfunction.,Depression (rare).,Minimal major interactions.,contraindicated,PO,months,months,Avoid handling crushed tablets in pregnancy.
endo_019,drug,Spironolactone,Spironolaktón,Sex hormone pharmacology,antiandrogen (MR antagonist),Weak androgen receptor antagonist; inhibits androgen synthesis; also MR antagonist.,Hirsutism; acne (selected); PCOS symptoms.,Hyperkalemia; renal failure; pregnancy.,Hyperkalemia; menstrual irregularities; breast tenderness.,Severe hyperkalemia.,ACEi/ARB/K+ supplements ↑ hyperkalemia.,avoid,PO,days to weeks,hours,Dual use: endocrine + CV.
endo_020,drug_class,Diabetes pharmacotherapy,Farmakoterapia diabetu,Diabetes therapy,overview,Lower glucose via insulin replacement or agents improving insulin secretion/sensitivity or reducing glucose absorption/production.,Type 1 diabetes; type 2 diabetes; diabetic emergencies (insulin).,Agent-dependent; hypoglycemia risk.,GI upset; weight changes (agent-dependent).,"Severe hypoglycemia; ketoacidosis (SGLT2, rare); lactic acidosis (metformin, rare).",Insulin + beta blockers mask hypoglycemia; metformin + contrast; sulfonylureas + alcohol.,agent-dependent,SC; IV; PO,minutes to weeks,hours to weeks,"Document: hypoglycemia risk, weight effect, renal dosing."
endo_021,drug,Insulin lispro,Inzulín lispro,Diabetes therapy,rapid-acting insulin,"Insulin receptor agonist → ↑glucose uptake, ↓hepatic glucose output; shifts K+ into cells.",Diabetes mellitus; DKA (regular insulin IV); hyperkalemia (adjunct).,Hypoglycemia; cautious titration in renal impairment.,Hypoglycemia; weight gain.,Severe hypoglycemia; hypokalemia.,Beta blockers mask hypoglycemia symptoms; alcohol ↑ hypoglycemia; additive with other antidiabetics.,preferred/acceptable,SC; IV (regular),~15 min,~3–5 h,Mealtime insulin; give with meals.
endo_022,drug,Regular insulin,Regular inzulín,Diabetes therapy,short-acting insulin,"Insulin receptor agonist → ↑glucose uptake, ↓hepatic glucose output; shifts K+ into cells.",Diabetes mellitus; DKA (regular insulin IV); hyperkalemia (adjunct).,Hypoglycemia; cautious titration in renal impairment.,Hypoglycemia; weight gain.,Severe hypoglycemia; hypokalemia.,Beta blockers mask hypoglycemia symptoms; alcohol ↑ hypoglycemia; additive with other antidiabetics.,preferred/acceptable,SC; IV (regular),~30–60 min (SC); immediate (IV),~5–8 h,Only insulin used IV for DKA.
endo_023,drug,NPH insulin,NPH inzulín,Diabetes therapy,intermediate-acting insulin,"Insulin receptor agonist → ↑glucose uptake, ↓hepatic glucose output; shifts K+ into cells.",Diabetes mellitus; DKA (regular insulin IV); hyperkalemia (adjunct).,Hypoglycemia; cautious titration in renal impairment.,Hypoglycemia; weight gain.,Severe hypoglycemia; hypokalemia.,Beta blockers mask hypoglycemia symptoms; alcohol ↑ hypoglycemia; additive with other antidiabetics.,preferred/acceptable,SC; IV (regular),~1–2 h,~12–18 h,Has peak; higher hypoglycemia risk.
endo_024,drug,Insulin glargine,Inzulín glargín,Diabetes therapy,long-acting insulin,"Insulin receptor agonist → ↑glucose uptake, ↓hepatic glucose output; shifts K+ into cells.",Diabetes mellitus; DKA (regular insulin IV); hyperkalemia (adjunct).,Hypoglycemia; cautious titration in renal impairment.,Hypoglycemia; weight gain.,Severe hypoglycemia; hypokalemia.,Beta blockers mask hypoglycemia symptoms; alcohol ↑ hypoglycemia; additive with other antidiabetics.,preferred/acceptable,SC; IV (regular),~1–2 h,~24 h,Basal insulin; minimal peak.
endo_025,drug,Metformin,Metformín,Diabetes therapy,biguanide,Decreases hepatic gluconeogenesis; ↑insulin sensitivity; ↓intestinal glucose absorption.,Type 2 diabetes (first-line).,Severely reduced renal function; metabolic acidosis; unstable hypoxia.,GI upset; diarrhea; metallic taste.,Lactic acidosis (rare); B12 deficiency (long-term).,Iodinated contrast (hold temporarily); alcohol ↑ lactic acidosis risk.,generally safe (often used),PO,days,hours,Weight neutral/weight loss; no hypoglycemia alone.
endo_026,drug,Gliclazide,Gliklazid,Diabetes therapy,sulfonylurea,Closes β-cell KATP channels → ↑insulin secretion.,Type 2 diabetes (add-on).,Type 1 diabetes; severe hepatic impairment; sulfa allergy (caution).,Hypoglycemia; weight gain.,Severe/prolonged hypoglycemia.,Alcohol ↑ hypoglycemia; many CYP interactions possible.,avoid if possible,PO,hours,hours,"Higher hypoglycemia risk, especially elderly/renal impairment."
endo_027,drug,Sitagliptin,Sitagliptín,Diabetes therapy,DPP-4 inhibitor,"Inhibits DPP-4 → ↑endogenous incretins → ↑insulin, ↓glucagon (glucose-dependent).",Type 2 diabetes.,History of pancreatitis (caution); renal dose adjust.,Nasopharyngitis; headache.,Pancreatitis (rare).,Few major interactions; dose adjust in renal impairment.,caution,PO,days,24 h,Weight neutral; low hypoglycemia risk.
endo_028,drug,Liraglutide,Liraglutid,Diabetes therapy,GLP-1 receptor agonist,"GLP-1 receptor agonist → ↑insulin, ↓glucagon (glucose-dependent), slows gastric emptying, ↑satiety.",Type 2 diabetes; weight loss (selected).,MEN2/medullary thyroid carcinoma; pancreatitis history (caution).,Nausea; vomiting; diarrhea.,Pancreatitis; gallbladder disease (rare).,Slows gastric emptying affects absorption; with insulin/sulfonylureas ↑ hypoglycemia risk.,caution/avoid,SC,hours,24 h,Weight loss benefit; counsel GI effects.
endo_029,drug,Empagliflozin,Empagliflozín,Diabetes therapy,SGLT2 inhibitor,Inhibits SGLT2 in proximal tubule → ↑urinary glucose excretion; osmotic diuresis.,Type 2 diabetes (often with CV/renal benefit).,Severe renal impairment; recurrent UTIs (caution).,Genital mycotic infections; polyuria; volume depletion.,Euglycemic ketoacidosis; Fournier gangrene (rare).,Diuretics ↑ dehydration; insulin/sulfonylureas ↑ hypoglycemia risk (less).,avoid,PO,days,24 h,Hold during acute illness/fasting/surgery to reduce DKA risk.
endo_030,drug_class,Pituitary/hypothalamic and thyroid pharmacology,Hypotalamo-hypofyzárna a tyreoidálna farmakológia,Pituitary & thyroid therapy,overview,Agents replacing or modulating pituitary hormones and controlling thyroid hormone synthesis or action.,Hypothyroidism; hyperthyroidism; thyroid storm; acromegaly; diabetes insipidus; infertility (selected).,Agent-dependent.,Nausea; headache (varies).,Agranulocytosis (thionamides); severe hyponatremia (desmopressin).,Levothyroxine interacts with warfarin; absorption reduced by iron/calcium; iodine timing with thionamides.,agent-dependent,PO; IV; intranasal; SC; IM,hours to weeks,hours to weeks,High-yield: levothyroxine; methimazole/PTU; iodide; beta blockers; desmopressin; somatostatin analogs.
endo_031,drug,Levothyroxine (T4),Levotyroxín (T4),Pituitary & thyroid therapy,thyroid hormone replacement,Synthetic T4 → converted to T3; binds nuclear thyroid receptors.,Hypothyroidism; myxedema coma (IV).,Untreated adrenal insufficiency; acute MI (caution).,Anxiety; palpitations (over-replacement).,Arrhythmias; osteoporosis (over-replacement).,Warfarin effect ↑; absorption reduced by iron/calcium; PPIs can alter absorption.,generally safe/preferred,PO; IV,days,weeks,Take on empty stomach; titrate by TSH.
endo_032,drug,Methimazole,Metimazol,Pituitary & thyroid therapy,antithyroid (thionamide),Inhibits thyroid peroxidase → ↓organification and coupling (↓T3/T4 synthesis).,Hyperthyroidism (Graves).,1st trimester pregnancy (prefer PTU); prior agranulocytosis.,Rash; pruritus; GI upset.,Agranulocytosis; cholestatic hepatitis (rare).,Warfarin dose adjustment as thyroid status changes.,avoid 1st trimester,PO,weeks,hours to days,Check CBC if fever/sore throat; LFTs if symptoms.
endo_033,drug,Propylthiouracil (PTU),Propyltiouracil (PTU),Pituitary & thyroid therapy,antithyroid (thionamide),Inhibits thyroid peroxidase and peripheral conversion of T4→T3.,Hyperthyroidism in 1st trimester pregnancy; thyroid storm.,Severe liver disease; prior agranulocytosis.,Rash; GI upset.,Severe hepatotoxicity; agranulocytosis.,Warfarin adjustment as thyroid status changes.,preferred 1st trimester,PO,weeks,hours,Reserve due to hepatotoxicity risk.
endo_034,drug,Potassium iodide (Lugol),Jodid draselný (Lugolov roztok),Pituitary & thyroid therapy,iodide,Acute high-dose iodide inhibits thyroid hormone release and organification (Wolff–Chaikoff).,Thyroid storm (after thionamide); preop preparation in Graves.,Iodine hypersensitivity; nodular goiter (caution).,Metallic taste; GI upset; rash.,Iodism; angioedema (rare).,Give after thionamide to avoid iodine-as-substrate; interacts with lithium/amiodarone.,caution,PO,hours,days,Short-term use only.
endo_035,drug,Propranolol,Propranolol,Pituitary & thyroid therapy,beta blocker (symptom control),β blockade reduces adrenergic symptoms; at high doses decreases T4→T3 conversion.,Symptomatic hyperthyroidism; thyroid storm adjunct.,Asthma/COPD; bradycardia; AV block.,Fatigue; cold extremities.,Bronchospasm; severe bradycardia.,Additive AV block with verapamil/diltiazem.,caution,PO; IV,hours,hours,Symptom control while waiting for definitive therapy.
